;;;;;;;;;;;;;;;;;;;;;Izkaz poslovnega izida;;;Izkaz poslovnega izida;;;;Bilanca stanja;;Erar;;;;izkaz poslovnega izida;;;;izkaz poslovnega izida;;;;bilanca stanja;
28583850;3649113;;NOVIDENT d.o.o.;Na skali 4;Kranj;4000;4;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2,5;DA;NE;NE;NE;2018;6;30.05.2019;77240,7;77240,7;93443,28;28.350,51;28350,51;28.304,78;28304,78;56401,92;56845,3;42.533,47;32.777,19;34.707,23;60.666,09;62854,92;62854,92;114502;114502;24805,34;24805,34;33382;90146,58;133180,37;115650,95
67405525;1982842;68105578;ORTHOSAN d.o.o.;Cesta krških žrtev 132 C;Krško;8270;8;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2,82;DA;NE;NE;NE;2018;1;30.05.2019;197418,01;197418,01;166432,19;27.977,37;27977,37;17.058,85;17058,85;52420,98;40231,42;190.534,46;158.645,88;6.883,55;7.786,31;155623,66;155623,66;148768,4;148768,4;9427,58;9427,58;4213,16;402660;506394;477400
91274222;5950813;22033728;LORENA, d.o.o.;Dunajska cesta 405;Ljubljana - ?rnu?e;1231;1;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;6;DA;NE;NE;NE;2018;1;30.05.2019;263580,67;263580,67;159014,56;-183606,31;-183606,31;-57812,09;-57812,09;825403,74;156783,35;178.711,23;121.415,52;84.869,44;37.599,04;145296,6;145296,6;141136;141136;-16918,29;-16918,29;-17812;33382;54030,66;72471
64791335;6689353;69034476;ZO-LA D.O.O.;Grad 187;Grad;9264;9;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2,5;DA;NE;NE;NE;2018;2;30.05.2019;177014,78;177014,78;164914,99;27.169,49;27169,49;22.056,30;22056,3;47820,4;43884,34;93.917,42;94.205,90;83.097,36;70.709,09;160870,46;160870,46;155745;155745;17849,6;17849,6;14775;66288;170803,34;193002
19970528;1433776;22033355;NASMEH ZOBOZDRAVSTVO d.o.o.;Kandijska cesta 62;Novo mesto;8000;8;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;1;30.05.2019;285188,68;285188,68;226446,11;26.215,32;26215,32;13.373,61;13373,61;82878,71;53830,85;90.941,01;73.110,72;194.247,67;153.335,39;210966,42;210966,42;217069,93;217069,93;16902,26;16902,26;25178,27; 8,711.92;245,040.93; 243,768.98
99732351;5056705;45023996;DOM ANTONA SKALE MARIBOR;Majcigerjeva ulica 37;Maribor;2000;2;Q87.200;Dejavnost nastanitvenih ustanov za oskrbo duševno prizadetih, duševno obolelih in zasvojenih oseb;4;S.13113;Velikost RS se ne izra?unava;22;NE;DA;NE;NE;2018;1;30.05.2019;616139;616139;604382;3.851,00;3851;15.178,00;15178;522594;554437;535.651,66;555.947,69;80.487,34;48.434,31;619790;619790;622800;622800;13422;13422;13844;17135,43;49641,21;46162,3
27749193;2153645;68119425;STARK d.o.o.;Trnovski pristan 8;Ljubljana;1000;1;Q86.230;Zobozdravstvena dejavnost;9;S.11003;Mikro enote;3;DA;NE;NE;NE;2018;1;30.05.2019;118338,06;118338,06;106639,55;25.480,72;25480,72;24.808,73;24808,73;97513,37;70658,16;108.817,53;93.064,61;9.520,53;13.574,94;111749,18;111749,18;108237;108237;23436,99;23436,99;21207;774679,12;941848,66;927141,95
40701786;5835984;22033672;DENTALEN - TERJAK d.o.o.;Spodnji Slemen 11;Selnica ob Dravi;2352;2;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;6,5;DA;NE;NE;NE;2018;1;30.05.2019;487517,41;487517,41;443746,77;25.398,40;25398,4;79.305,35;79305,35;430454,33;442211,19;54.596,92;52.493,29;432.920,49;391.253,48;324345,39;324345,39;251518,27;251518,27;30745,47;30745,47;39933,63;419528,21;806080,54;802580,01
61042382;6711324;69049227;GINEKOLOGIJA STRAŽAR d.o.o.;Hafnerjevo naselje 24;Škofja Loka;4220;4;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;2,38;DA;NE;NE;NE;2018;2;30.05.2019;229952,28;229952,28;195850,24;24.673,88;24673,88;12.865,69;12865,69;50092,16;38577,28;202.485,85;185.532,00;27.466,43;10.318,24;217667,01;217667,01;159179,56;159179,56;21412,81;21412,81;25037,59;3037;334909,01;290015
74417924;1469070;;PAN?UR d.o.o.;Ži?e 19;Radomlje;1235;1;Q86.909;Druge zdravstvene dejavnosti;6;S.11002;Mikro enote;2,63;DA;NE;NE;NE;2018;6;30.05.2019;78905;78905;78630;-16700,6;-16700,6;-18224,61;-18224,61;9262,43;7885,67;0;0;78.905,00;78.630,00;74754,04;74754,04;66850;66850;-21416,81;-21416,81;-19306;5601;74168,21;59522
45718300;1829181;;ZOBOZDRAVSTVO MEZEG, d.o.o.;Ulica 4. oktobra 3;Cerklje na Gorenjskem;4207;4;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;7,25;DA;NE;NE;NE;2018;6;30.05.2019;625279;625279;640602;24.313,66;24313,66;11.865,32;11865,32;184896,33;171942,1;61,76;0;625.217,24;640.602,00;553458;553458;476843;476843;2479,8;2479,8;1710;337738;595123,25;414436
53137221;2148676;68707639;NIKL KRAVOS, d.o.o.;Maistrova ulica 13;Maribor;2000;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;1;30.05.2019;275100,89;275100,89;257182,46;632.718,76;632718,76;535.273,88;535273,88;679413,77;579605,59;197.749,13;192.926,51;77.351,76;64.255,95;259780,96;259780,96;253629,46;253629,46;471186,71;471186,71;404340,77;19415;10847018;10938841
12978353;6058914;68956149;ORDINACIJA dr. NOVAK BRECELJ d.o.o.;Podutiška cesta 46;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;2,47;DA;NE;NE;NE;2018;2;30.05.2019;168896,21;168896,21;138038,61;23.525,07;23525,07;3.465,23;3465,23;53417,44;26494,74;90.312,60;94.783,50;78.583,61;43.255,11;141217,83;141217,83;142022,48;142022,48;5751,46;5751,46;1395,75;39201;119677,43;119365
95825908;6612768;69033946;VoMed, d.o.o.;Ob progi 3;Rogaška Slatina;3250;3;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;6,44;DA;NE;NE;NE;2018;2;30.05.2019;433128,09;433128,09;429457,33;3.878,50;3878,5;6.543,82;6543,82;246434,31;245051,82;357.018,15;340.183,62;76.109,94;89.273,71;420409,15;420409,15;387069;387069;11026,9;11026,9;10051;101367;147472,44;129159
47791799;3401022;68824894;Z.A.K d.o.o.;Koroška ulica 2;Kranjska Gora;4280;4;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2,76;DA;NE;NE;NE;2018;1;30.05.2019;183318,64;183318,64;174737,56;23.220,20;23220,2;10.134,15;10134,15;150941,18;123898,9;51.796,05;61.499,00;131.522,59;113.238,56;185233,66;185233,66;185315,12;185315,12;10641,21;10641,21;6589,4;0;;
75052938;5490391;22033541;STUDIO R, d.o.o.;Na klancu 22;Vrhnika;1360;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;4,06;DA;NE;NE;NE;2018;1;30.05.2019;232158,34;232158,34;217035,1;22.715,97;22715,97;3.485,97;3485,97;84318,49;150237,54;194.439,16;170.120,22;37.719,18;46.914,88;217357,63;217357,63;183743;183743;2914,88;2914,88;9461;12101;40335,33;38946
97745642;5950678;22033730;FMR PLUS d.o.o., Ljubljana;Dunajska cesta 186;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;3,49;DA;NE;NE;NE;2018;1;30.05.2019;153376,71;153376,71;145459,8;22.335,71;22335,71;6.658,57;6658,57;47623,8;31280,46;88.622,84;87.106,48;64.753,87;58.353,32;122715,11;122715,11;121109;121109;-1573,88;-1573,88;-4941;28881,63;60770,89;53245,61
52262553;6724884;69077811;CIIM PLUS, d.o.o.;Jezdarska ulica 2;Maribor;2000;2;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;2;30.05.2019;202027,81;202027,81;168578,21;21.212,04;21212,04;3.432,93;3432,93;196898;168801,01;78.700,09;56.936,25;123.327,72;111.641,96;121084,95;121084,95;53573;53573;481,71;481,71;-4634;39487,26;89323,61;96014,5
17650054;6783813;69085149;ZATE d.o.o.;Železnikova ulica 4;Maribor;2000;2;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;2;30.05.2019;182820,15;182820,15;184152,5;20.437,46;20437,46;26.352,48;26352,48;38843,6;48563,23;47.684,56;69.055,31;135.135,59;115.097,19;165721,86;165721,86;0;0;12935,76;12935,76;-112,8;39625;353271,28;304907
44495889;6561217;69154581;ZOBNA ORDINACIJA BOJANA VO?ANEC d.o.o.;Sladki Vrh 5;Sladki vrh;2214;2;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;5,63;DA;NE;NE;NE;2018;2;30.05.2019;371147,45;371147,45;156554,13;20.112,03;20112,03;3.941,62;3941,62;97923,74;137367,27;62.722,12;26.578,62;308.425,33;129.975,51;0;0;0;0;-660,66;-660,66;-279,18;23827;56041,12;46956
28277678;5273943;45017205;MLADINSKO KLIMATSKO ZDRAVILIŠ?E RAKITNA;Rakitna 96;Preserje;1352;1;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;41;NE;NE;DA;NE;2018;1;30.05.2019;1403957;1403957;1309977;548;548;202;202;2245303;2226343;1.338.595,43;1.249.892,31;65.361,57;60.084,69;1318011;1318011;1292562;1292562;25221;25221;35564;41314,27;97028,7;77874,37
27460819;2210436;68235332;STUDIO KOROŠEC d.o.o.;Trg svobode 3 A;Kobarid;5222;5;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;6,84;DA;NE;NE;NE;2018;1;30.05.2019;637439,1;637439,1;673053,98;18.739,36;18739,36;107.762,99;107762,99;930990,07;878670,49;44,8;3,48;637.394,30;673.050,50;728951,29;728951,29;629722;629722;-32828,1;-32828,1;12600;59632,85;140093,67;143413,74
56820534;5930065;22033735;SANIDENT d.o.o.;Kovaška cesta 25 B;Zre?e;3214;3;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;9,26;DA;NE;NE;NE;2018;1;30.05.2019;392535,79;392535,79;339717,91;17.581,75;17581,75;7.870,60;7870,6;285197,25;273898,96;277.042,08;231.419,48;115.493,71;108.298,43;320106;320106;319392;319392;4524;4524;5700;25652;36096,71;51508
91321808;6418147;69108933;ŽIVA V PARKU d.o.o.;Tišina 30;Tišina;9251;9;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;6,5;DA;NE;NE;NE;2018;2;30.05.2019;343837,33;343837,33;331379,1;30.261,33;30261,33;34.001,75;34001,75;964881,29;980880,84;279.819,68;271.667,89;64.017,65;59.711,21;132823,1;132823,1;0;0;16881,18;16881,18;-561;35707;103330,67;137642
51067986;3332357;68706520;ZDRAV SLOG d.o.o;Pesnica pri Mariboru 42 C;Pesnica pri Mariboru;2211;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,07;DA;NE;NE;NE;2018;1;30.05.2019;223118,17;223118,17;189909,95;131.025,52;131025,52;118.027,97;118027,97;154558,48;137013,71;161.005,68;168.434,96;62.112,49;21.474,99;227132,19;227132,19;206600;206600;87885,69;87885,69;115009;-393,33;172621,99;57488,7
54418747;3329984;68683878;VITA MAR d.o.o.;Panonska cesta 17;Radenci;9252;9;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;6,48;DA;NE;NE;NE;2018;1;30.05.2019;409667,07;409667,07;376020,86;43.942,65;43942,65;28.489,48;28489,48;294435,69;253532,78;348.013,81;316.925,79;61.653,26;59.095,07;363309,99;363309,99;305993;305993;26824,41;26824,41;39868;16358,82;68093,14;63256,23
45433127;1527525;;IBITAH d.o.o.;Maistrova ulica 22;Lenart v Slovenskih goricah;2230;2;Q86.909;Druge zdravstvene dejavnosti;6;S.11002;Mikro enote;3,02;DA;NE;NE;NE;2018;6;30.05.2019;165074,13;165074,13;159461;65.862,02;65862,02;64.885,00;64885;153101,98;131673;103.749,93;98.645,55;61.324,20;60.815,45;154479,76;154479,76;143574;143574;60048,95;60048,95;52182;68785;301101,34;302347
99531470;1227122;;ZOBAR, d.o.o., Trbovlje;Dom in vrt 14;Trbovlje;1420;1;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;3,13;DA;NE;NE;NE;2018;6;30.05.2019;122213,8;122213,8;121857;17.553,59;17553,59;16.202,47;16202,47;56146,47;55719,58;0;0;122.213,80;121.857,00;121137;121137;132035;132035;21846;21846;18494;101673,96;231345,2;237942,01
66136628;6101127;68941647;VISAMA, d.o.o.;Videm pri Ptuju 51;Videm pri Ptuju;2284;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;8;DA;NE;NE;NE;2018;2;30.05.2019;366253,93;366253,93;265415,47;21393,27;21393,27;-7520,46;-7520,46;104818,08;101323,37;306.634,00;232.035,76;59.619,93;33.379,71;231307,66;231307,66;198911;198911;8881,85;8881,85;-84;13465,12;69424,01;72924,68
75048191;1571699;22033777;NEVRIT d.o.o. prof. dr. Miro Denišli?;Peri?eva ulica 7;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;2,5;DA;NE;NE;NE;2018;1;30.05.2019;216760,29;216760,29;218931,9;16.663,35;16663,35;11.931,52;11931,52;41881,36;35984,89;139.661,03;139.195,92;77.099,26;79.735,98;209233,78;209233,78;205025;205025;7493,12;7493,12;11807;4057;112746,76;75020
22638563;2147637;68106397;ŠUBIC-DIABETOLOGIJA d.o.o.;Lavri?eva ulica 1;Maribor;2000;2;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;2,94;DA;NE;NE;NE;2018;1;30.05.2019;168538,72;168538,72;156495,73;15.809,46;15809,46;6.272,12;6272,12;66125,59;59752,22;174.924,74;140.545,17;-6.386,02;15.950,56;120940,16;120940,16;135729;135729;6128,22;6128,22;43120;42920;103563,39;65279
58260293;3697240;69047843;GAIA MED d.o.o.;Jamska cesta 23;Postojna;6230;6;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;2,5;DA;NE;NE;NE;2018;2;30.05.2019;216889,53;216889,53;232572,55;90.625,08;90625,08;81.712,04;81712,04;275022,56;267726,68;159.967,71;181.451,17;56.921,82;51.121,38;218222,58;218222,58;190371,5;190371,5;70171,64;70171,64;47363,1;18823;537118,55;549710
73366889;6548237;69106161;WAHIBI d.o.o.;Celjska cesta 26;Vojnik;3212;3;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;4;DA;NE;NE;NE;2018;2;30.05.2019;366017,7;366017,7;311020,84;15.600,45;15600,45;11.572,15;11572,15;83881,53;64469,97;70.190,74;55.572,44;295.826,96;255.448,40;243613,24;243613,24;56212;56212;29008,53;29008,53;2073,23;18494;66934;64148
32659253;1317733;22033364;MEDIKO d.o.o.;Dedni Dol 33;Višnja Gora;1294;1;Q86.909;Druge zdravstvene dejavnosti;6;S.11002;Mikro enote;2,5;DA;NE;NE;NE;2018;1;30.05.2019;107809,23;107809,23;97937,32;24.003,99;24003,99;20.460,16;20460,16;137292,38;125029,52;51.253,02;49.201,28;56.556,21;48.736,04;81186,85;81186,85;72437;72437;20152,59;20152,59;17072;289146;390494,6;395532
59445475;5053650;23454993;CZBO;Šentvid pri Sti?ni 44;Šentvid pri Sti?ni;1296;1;Q86.100;Bolnišni?na zdravstvena dejavnost;2;S.13113;Velikost RS se ne izra?unava;56;NE;NE;DA;NE;2018;1;30.05.2019;2194113;2194113;1967975;2.823,00;2823;1.309,00;1309;1659717;1585122;2137668,09;1829309,82;56.444,91;138.665,18;1923603;1923603;1788535;1788535;5290;5290;31231;11120;29893;29562
14383756;6110002;68941436;AMBULANTA JERKOVI?, d.o.o.;Osojnikova cesta 9;Ptuj;2250;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,18;DA;NE;NE;NE;2018;2;30.05.2019;218256,15;218256,15;202456,98;53.632,02;53632,02;46.144,18;46144,18;103519,4;89727,38;162.553,17;161.571,82;55.702,98;40.885,16;217912,22;217912,22;206173;206173;48440,22;48440,22;42920;1015;143509,47;135743
79277497;1695126;22033400;AMBULANTA ŠUBIC d.o.o.;Stara cesta 10;Škofja Loka;4220;4;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;8;DA;NE;NE;NE;2018;1;30.05.2019;453333,92;453333,92;462764,7;20.299,39;20299,39;15.329,65;15329,65;123627,49;104432,44;398.185,02;397.928,09;55.148,90;64.836,61;407068,48;407068,48;385462,73;385462,73;32200,23;32200,23;26244,99;63103;125337,21;87071
68787685;3663167;68883317;VITALIJA d.o.o., Kranj;Gosposvetska ulica 10 A;Kranj;4000;4;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;4,37;DA;NE;NE;NE;2018;1;30.05.2019;345329,42;345329,42;263709,79;114.229,27;114229,27;85.366,94;85366,94;197385,99;171712,84;291.781,54;212.485,95;53.547,88;51.223,84;223345,53;223345,53;227216;227216;76336,04;76336,04;68115;26260;2262648,03;2192039
41635698;2036061;68171072;LANTANA, d.o.o.;Zasavska cesta 3;Litija;1270;1;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,35;DA;NE;NE;NE;2018;1;30.05.2019;226568,8;226568,8;190843,84;83.712,20;83712,2;56.622,36;56622,36;195665,7;190378,06;173.986,58;155.235,19;52.582,22;35.608,65;152184,94;152184,94;147834,6;147834,6;58175,54;58175,54;59632,85;3962;90872;76145
84167505;1622765;68021985;ARSDERMA-DCP d.o.o.;Cankarjeva cesta 4;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Majhne enote;7,51;DA;NE;NE;NE;2018;1;30.05.2019;788364,55;788364,55;907238,75;15.251,89;15251,89;6.404,03;6404,03;447024,52;440347,31;133.158,73;10.601,02;655.205,82;896.637,73;530768,2;530768,2;509450;509450;11051,52;11051,52;29420;-45;10785,69;9976
24505927;2138344;68212435;RCD d.o.o.;Ulica bratov Babnik 10;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;3,89;DA;NE;NE;NE;2018;1;30.05.2019;275702,64;275702,64;276217,75;15.133,63;15133,63;28.756,50;28756,5;174919,44;248700,96;134.242,44;122.447,27;141.460,20;153.770,48;252401,33;252401,33;237684;237684;1371,14;1371,14;-23975;22504,25;53082,05;44769,61
57546061;6687059;69129916;REMEDIA d.o.o.;Hruševska cesta 6 A;Ljubljana;1000;1;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;4,77;DA;NE;NE;NE;2018;2;30.05.2019;240973,25;240973,25;254458,47;36.798,92;36798,92;28.054,43;28054,43;63861,61;57500,24;190.221,14;204.180,43;50.752,11;50.278,04;11520;11520;1300;1300;9622,62;9622,62;288;15977;96396,5;95250
24441287;6086497;68969818;LILIMED, d.o.o.;Breg 6 A;Majšperk;2322;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,11;DA;NE;NE;NE;2018;2;30.05.2019;192714,04;192714,04;185330,74;37.881,24;37881,24;35.769,29;35769,29;77015,78;76945,37;142.960,80;152.260,23;49.753,24;33.070,51;187088,83;187088,83;186194,37;186194,37;31810,71;31810,71;22504,25;126887;238625,41;241548
17770700;6137032;68967802;GALENIA, d.o.o.;?u?kova ulica 17;Ljubljana;1000;1;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;2,52;DA;NE;NE;NE;2018;2;30.05.2019;213186,33;213186,33;221786,33;19.090,07;19090,07;14.961,05;14961,05;47912,13;43007,64;163.716,55;172.710,27;49.469,78;49.076,06;219495,67;219495,67;218320;218320;7908,61;7908,61;5365;26070,58;74668,65;58861,87
28977114;6109446;68956348;SAVA MED, d.o.o.;Cesta k Dravi 8;Spodnji Duplek;2241;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,44;DA;NE;NE;NE;2018;2;30.05.2019;230711,48;230711,48;232385,69;7.169,31;7169,31;32.296,54;32296,54;40737,54;55233,89;182.867,09;193.526,91;47.844,39;38.858,78;257619,24;257619,24;250167;250167;30379,54;30379,54;23827;10845,59;54526,11;62256,31
97474967;3055191;68170978;IVAN URBANC, s.p.;Florjan 165 C;Šoštanj;3325;3;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.14100;Mikro enote;6;DA;NE;NE;NE;2018;1;30.05.2019;248072,98;248072,98;235692,87;47.950,88;47950,88;50.560,19;50560,19;183300,69;198141,51;201.557,10;190.994,77;46.515,88;44.698,10;211750,01;211750,01;203250;203250;56567,95;56567,95;58347;12164;83049,23;63247
76688364;3301052;68454333;AMBULANTA VITA d.o.o.;Blejska cesta 10;Trži?;4290;4;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;2,38;DA;NE;NE;NE;2018;1;30.05.2019;256802,7;256802,7;245399,65;216.942,12;216942,12;198.558,77;198558,77;310671,82;302614,11;210.983,06;203.672,74;45.819,64;41.726,91;241509,46;241509,46;232488,91;232488,91;185424,6;185424,6;218204,45;50078;1635531;1510417
55655114;5623979;45027556;EVA d.o.o.;Pleterje 24;Zdole;8272;8;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,48;DA;NE;NE;NE;2018;1;30.05.2019;243352,74;243352,74;263941,06;853,75;853,75;776,88;776,88;64778,31;66840,92;197.595,44;236.140,19;45.757,30;27.800,87;261574,22;261574,22;235995,67;235995,67;15169,55;15169,55;8387,44;23116;78042,61;68322
36095800;3299708;68707178;ORDINIJA d.o.o.;Pod hribom 12;Šentilj v Slovenskih goricah;2212;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,78;DA;NE;NE;NE;2018;1;30.05.2019;268169,19;268169,19;240525,33;139.768,20;139768,2;123.789,26;123789,26;163882;143270,2;222.569,81;204.852,24;45.599,38;35.673,09;270121,76;270121,76;260636,87;260636,87;109536,62;109536,62;90146,58;56073;586468;574531
45795975;3581411;68883468;MEDIKUS, d.o.o.;Cesta k Dravi 8;Spodnji Duplek;2241;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;2,4;DA;NE;NE;NE;2018;1;30.05.2019;179865,01;179865,01;163874,81;8.583,99;8583,99;4.939,71;4939,71;49228,97;35672,77;134.591,37;124.211,34;45.273,64;39.663,47;162139,26;162139,26;160777;160777;5545,83;5545,83;69993;188064;221925,52;223783
64697568;1359894;68363153;AMBULANTA KOŠIR d.o.o.;Podlubnik 307;Škofja Loka;4220;4;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;5,61;DA;NE;NE;NE;2018;2;30.05.2019;281403,01;281403,01;277292,28;24.466,95;24466,95;18.705,47;18705,47;88581,57;81927,8;237.060,26;222.882,86;44.342,75;54.409,42;259644,31;259644,31;213458,49;213458,49;19423,56;19423,56;17354,58;73421;168186,47;93341
23836920;8164843;69205488;Medicina dela Bea d.o.o.;Tržaška cesta 39;Postojna;6230;6;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Ni podatka o velikosti;4,81;DA;NE;NE;NE;2018;2;30.05.2019;414789,32;414789,32;0;14.428,45;14428,45;0;0;98423,76;0;45.468,12;0;;;;ni podatkov;;;0;0;0;0;;
91896002;6475868;68988270;SAFTI? d.o.o.;Mala vas 32 B;Gorišnica;2272;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,97;DA;NE;NE;NE;2018;2;30.05.2019;218126,31;218126,31;211570,19;4.689,30;4689,3;15.658,14;15658,14;37841,2;60922,34;175.286,97;168.895,10;42.839,34;42.675,09;203147,32;203147,32;198039;198039;14709,08;14709,08;27724;38068,06;248794,64;74095,79
45867143;3507696;68812979;MEDICINA MLINAR d.o.o.;Srebrni?eva ulica 31;Deskle;5210;5;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;2,46;DA;NE;NE;NE;2018;1;30.05.2019;234699,42;234699,42;241315,83;367.973,11;367973,11;352.110,37;352110,37;427126,98;469311,52;191.978,58;225.453,22;42.720,84;15.862,61;255490,28;255490,28;223200;223200;326909,38;326909,38;275594,5;434471;7583499;7612108
59791969;6916945;69092445;KALAMED d.o.o;Prešernova cesta 9 A;Velenje;3320;3;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;2;30.05.2019;219828,75;219828,75;209132,19;6.254,20;6254,2;3.184,06;3184,06;38809,82;41795,78;177.922,39;167.394,36;41.906,36;41.737,83;148531;148531;0;0;73;73;-671;160597;197943,72;199299
94583099;6031030;68957854;AMBULANTA TOMINC, d.o.o.;Pot v toplice 9;Ptuj;2250;2;Q86.210;Splošna zunajbolnišni?na zdravstvena dejavnost;8;S.11002;Mikro enote;3,52;DA;NE;NE;NE;2018;2;30.05.2019;269754,46;269754,46;246551,52;14.541,31;14541,31;7.897,83;7897,83;53671,22;45366,54;227.942,71;223.495,85;41.811,75;23.055,67;246596,29;246596,29;241451;241451;13092,93;13092,93;12101;13090;71183,98;54675
81154887;3669718;68287473;DOM ELIZABETA, LUCIJAN FICKO s.p.;Sveti Jurij 7 B;Rogašovci;9262;9;Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;5;S.14100;Mikro enote;7,72;DA;NE;NE;NE;2018;5;30.05.2019;307988,01;307988,01;290824,54;2043,84;2043,84;-6986,79;-6986,79;500813;257356,81;266.310,23;253.239,26;41.677,78;37.585,28;289198,68;289198,68;260480;260480;20693,16;20693,16;-11370;984;65567,72;58794
20409222;2284898;68955894;MARDENS d.o.o.;Ilaunigova ulica 15;Lenart v Slovenskih goricah;2230;2;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2,62;DA;NE;NE;NE;2018;2;30.05.2019;133734,77;133734,77;134097,23;14.167,91;14167,91;13.627,39;13627,39;39664,1;41366,2;77.011,67;77.352,48;56.723,10;56.744,75;131177,8;131177,8;119855,55;119855,55;12903,86;12903,86;9097,68;26183;135857,55;103029
77777638;6177689;68955370;ZOBOZDRAVSTVO LUKAN d.o.o.;Žolgarjeva ulica 7;Maribor;2000;2;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;2;30.05.2019;156482,68;156482,68;150657,61;12.729,19;12729,19;12.055,78;12055,78;37124,45;38790,4;48.719,15;45.798,40;107.763,53;104.859,21;146821,9;146821,9;196310;196310;11487,81;11487,81;11118;499963,5;905828,78;757412,35
